"Tendências","Volume de pesquisa","Iniciado","Finalizada","Detalhamento da tendência","Acesse a página ""Explorar"""
"england vs argentina","200 mil+","11 de julho de 2026 às 20:40:00 UTC-3",,"england vs argentina,argentina vs england,world cup final,world cup semi finals,semi final world cup,france vs spain tickets,falklands war,next fifa game,where is england and norway playing,argentina players,argentina england,when does argentina play next,who does argentina play next,argentina next game,norway v england game,past world cup winners,argentina vs england 2026,argentina vs england tickets,argentina v england,maradona hand of god,where is the final world cup game being played,norway england live,next argentina game,england v argentina,who will england play next,england last world cup win,cuti romero,argentina england world cup,england vs argentina tickets,argentina vs england time,argentina england game","./explore?q=england%20vs%20argentina&geo=US"
"upcoming events","200 mil+","9 de julho de 2026 às 13:00:00 UTC-3",,"upcoming events","./explore?q=upcoming%20events&geo=US"
"technology news","200 mil+","9 de julho de 2026 às 13:00:00 UTC-3",,"technology news","./explore?q=technology%20news&geo=US"
"paddy pimblett","500 mil+","7 de julho de 2026 às 19:50:00 UTC-3",,"paddy pimblett,ufc rankings,benoit saint-denis,paddy the baddy,benoit saint denis,paddy pimblett vs benoit saint denis,paddy pimblett fight,paddy,ilia topuria,paddy fight,when does paddy the baddy fight,saint denis ufc,paddy the baddy fight,pimblett,did paddy win,benoit st denis,did paddy pimblett win last night,what time is paddy the baddy fighting,pimblett vs saint denis,lightweight ufc,paddy ufc,paddy pimblett last fight,bsd ufc,bsd,paddy pimblett weight,saint denis,paddy pimblett from,ufc paddy,what is paddy pimblett,ufc paddy pimblett,paddy vs,who won the paddy pimblett fight tonight,paddy the baddie,paddy pimblett fight tonight,how much did paddy pimblett make tonight,paddy pimblett odds,did paddy pimblett win,paddy vs benoit,who is paddy fighting tonight,where paddy pimblett from,where is benoit saint denis from,st denis ufc","./explore?q=paddy%20pimblett&geo=US"
"figaro","100 mil+","13 de julho de 2026 às 01:00:00 UTC-3",,"figaro","./explore?q=figaro&geo=US"
"little house on the prairie","200 mil+","9 de julho de 2026 às 07:50:00 UTC-3",,"little house on the prairie,little house on the prairie cast,little house on the prairie cast 2026,little house on the prairie netflix,netflix little house prairie series,laura ingalls wilder,charles ingalls,little house on the prairie 2026,alison arngrim little house reboot","./explore?q=little%20house%20on%20the%20prairie&geo=US"
"tom segura","100 mil+","13 de julho de 2026 às 16:10:00 UTC-3",,"tom segura,tom segura divorce,christina pazsitzky,tom segura christina p,christina p,is tom segura getting a divorce,tom.segura,tom segura wife","./explore?q=tom%20segura&geo=US"
"who won love island usa season 8","500 mil+","11 de julho de 2026 às 22:40:00 UTC-3",,"who won love island usa season 8,who won love island,love island finale,love island usa season 8 winners,who won love island season 8,who wins love island season 8 usa,love island winners,who won season 8 love island usa,love island,love island season 8 winners,island,how long is the love island finale,who won love island 2026,love island usa,who won love island usa season 7,love island finale time,love island winners 2026,love island winner,how long is love island finale,love island usa season 8,when is love island usa finale,winners of love island usa season 8,who wins love island season 8,love island season 8,when is the love island finale,who won love island usa 2026,who won love island usa,love island usa season 8 vote,what time is love island finale,what time is love island on tonight,love island usa winners,love island finale date,who wins love island,vote love island usa season 8,winner of love island usa season 8,who won,love island usa finale,what time is the love island finale,love island usa vote,when does the love island finale come out,love island final 4,when is the last episode of love island,who went home on love island usa tonight,what time does love island finale come out,love island season finale,love island usa season 8 episode 32,newport news va,who got dumped from love island tonight,when does love island usa end,are trinity and bryce still together,love island vote,who goes home tonight on love island usa,how to vote for love island","./explore?q=who%20won%20love%20island%20usa%20season%208&geo=US"
"josh grisetti","100 mil+","12 de julho de 2026 às 18:30:00 UTC-3",,"josh grisetti,john grisetti,josh grisetti marvelous mrs maisel,marvelous mrs maisel,josh grisetti death,joshua grisetti","./explore?q=josh%20grisetti&geo=US"
"randolph mantooth","200 mil+","10 de julho de 2026 às 18:50:00 UTC-3",,"randolph mantooth,emergency tv show,randy mantooth,johnny gage,mantooth,randolph mantooth death,randolph mantooth cause of death","./explore?q=randolph%20mantooth&geo=US"
"mcgregor","2 mi+","8 de julho de 2026 às 21:30:00 UTC-3",,"mcgregor,conor mcgregor injury,conor mcgregor,conor mcgregor fight,conor mcgregor vs max holloway 2,mcgregor fight,connor mcgregor,max holloway conor mcgregor ufc 329,who won the conor mcgregor fight,what happened to conor mcgregor,mcgregor injury,islam makhachev,conor mcgregor injury update","./explore?q=mcgregor&geo=US"
"five star weekend","200 mil+","8 de julho de 2026 às 21:10:00 UTC-3",,"five star weekend,5 star weekend,five star weekend cast,peacock,5 star weekend cast,jennifer garner new show,chloe sevigny,the five star weekend cast,regina hall,peacock tv,5 star weekend show","./explore?q=five%20star%20weekend&geo=US"
"bison attack yellowstone","100 mil+","12 de julho de 2026 às 09:30:00 UTC-3",,"bison attack yellowstone,yellowstone bison attack,man gets tossed by bison,bison attack,yellowstone bison,bison flips grandpa,yellowstone national park","./explore?q=bison%20attack%20yellowstone&geo=US"
"pistons news","50 mil+","13 de julho de 2026 às 06:40:00 UTC-3",,"pistons news,sports,detroit pistons","./explore?q=pistons%20news&geo=US"
"lindsey graham sister","200 mil+","12 de julho de 2026 às 05:20:00 UTC-3",,"lindsey graham sister,darline graham,darline graham nordone,darline nordone,the office,south carolina governor,darlene graham,lindsey graham sister darline,henry mcmaster,lindsey graham replacement,lindsey graham family,lindsey graham's sister,how old was lindsey graham,who is lindsey graham's sister,darline graham lindsey graham sister,trey gowdy,lindsey grahams sister,associated press,darline graham nordone bio,mcmaster","./explore?q=lindsey%20graham%20sister&geo=US"
"mercury vs lynx","50 mil+","13 de julho de 2026 às 21:10:00 UTC-3",,"mercury vs lynx,olivia miles,kayla mcbride,minnesota lynx,phoenix mercury,lynx vs mercury,lynx wnba,natasha howard,mn lynx,phoenix vs minnesota wnba","./explore?q=mercury%20vs%20lynx&geo=US"
"weather today","200 mil+","9 de julho de 2026 às 13:30:00 UTC-3",,"weather today","./explore?q=weather%20today&geo=US"
"digger","50 mil+","13 de julho de 2026 às 10:30:00 UTC-3",,"digger,tom,digger movie,digger trailer,tom cruise digger movie trailer,tom cruise digger trailer,digger 2026","./explore?q=digger&geo=US"
"justices barrett and kagan hearings","50 mil+","13 de julho de 2026 às 08:50:00 UTC-3",,"justices barrett and kagan hearings,elena kagan,justices barrett kagan congress testimony","./explore?q=justices%20barrett%20and%20kagan%20hearings&geo=US"
"manila clam spreading atlantic coastline","20 mil+","13 de julho de 2026 às 16:30:00 UTC-3",,"manila clam spreading atlantic coastline,manila clam atlantic coast invasion","./explore?q=manila%20clam%20spreading%20atlantic%20coastline&geo=US"
"maine ice shooting","50 mil+","13 de julho de 2026 às 10:50:00 UTC-3",,"maine ice shooting,biddeford, maine ice,biddeford maine,ice shooting maine,joan sebastian guerrero,maine,ice,ice shooting,biddeford maine ice,biddeford,ice maine,ice shooting in maine,biddeford shooting","./explore?q=maine%20ice%20shooting&geo=US"
"north carolina division of motor vehicles","50 mil+","12 de julho de 2026 às 15:30:00 UTC-3",,"north carolina division of motor vehicles","./explore?q=north%20carolina%20division%20of%20motor%20vehicles&geo=US"
"black ops 2","200 mil+","9 de julho de 2026 às 14:20:00 UTC-3",,"black ops 2,black ops 2 ps5,black ops 1 and 2 ps5,activision black ops crossplay ps4 ps5,bo2,bo2 ps5,call of duty black ops 2 ps5,black ops 2 ps5 ps4,cod black ops ps5,black ops 1,black ops,black ops 2 release date ps5,black ops 2 ps5 playstation,is black ops 2 cross platform,is black ops 2 on ps5,call of duty black ops 2,black ops 1 ps5,call of duty,call of duty black ops,black ops ps5,call of duty black ops 1 and 2 ps5,black ops 1 and 2 ps5 release date,activision black ops ps5 port,is bo2 crossplay","./explore?q=black%20ops%202&geo=US"
"united","50 mil+","13 de julho de 2026 às 04:50:00 UTC-3",,"united","./explore?q=united&geo=US"
"palworld","100 mil+","9 de julho de 2026 às 04:40:00 UTC-3",,"palworld,palworld 1.0 release time,palworld 1.0,palworld 1.0 pals,palworld 1.0 release date,palworld 1.0 patch notes,when does palworld 1.0 come out,palworld patch notes","./explore?q=palworld&geo=US"
"shipwrecked nightmare at sea","50 mil+","10 de julho de 2026 às 15:50:00 UTC-3",,"shipwrecked nightmare at sea,costa concordia deaths,concordia cruise ship","./explore?q=shipwrecked%20nightmare%20at%20sea&geo=US"
"caleb wilson","50 mil+","10 de julho de 2026 às 21:20:00 UTC-3",,"caleb wilson,bulls,hubert davis,bulls summer league,cameron boozer,chicago bulls,caleb wilson summer league,bulls vs grizzlies summer league,chicago bulls summer league,bulls vs grizzlies,bulls summer league game,caleb wilson summer league stats","./explore?q=caleb%20wilson&geo=US"
"jay z concert","200 mil+","10 de julho de 2026 às 08:30:00 UTC-3",,"jay z concert,jay z,jay z yankee stadium,music,concerts,yankee stadium,blue ivy piano jay z concert,jayz,jay-z concert surprise guests beyonce,blue ivy piano jay-z concert,eminem,jay-z,jay z setlist,jay z cut his hair,jay z concert nyc,iheart,blue ivy carter,jay z concert cancelled,did jay z cut his hair,jayz concert,jay z night 3,jayz tickets","./explore?q=jay%20z%20concert&geo=US"
"vinod khosla","200 mil+","11 de julho de 2026 às 19:30:00 UTC-3",,"vinod khosla,seahawks,khosla family,seattle seahawks,khosla,neeru khosla,paul allen,seahawks sale,seahawks sold,vinod khosla net worth,seattle seahawks sale,khosla ventures,seahawks news,neal khosla,kholsa family,vinod khosla seahawks,vinod khosla 49ers,who is vinod khosla,49ers,who bought the seahawks,seahawks owner,kholsa,vinod khosla seahawks sale","./explore?q=vinod%20khosla&geo=US"
"taylor sheridan action series streaming","20 mil+","13 de julho de 2026 às 17:10:00 UTC-3",,"taylor sheridan action series streaming","./explore?q=taylor%20sheridan%20action%20series%20streaming&geo=US"
"rachael ray fans comments","50 mil+","13 de julho de 2026 às 12:00:00 UTC-3",,"rachael ray fans comments,rachael ray sparked fan concern over her altered appearance online,rachael ray","./explore?q=rachael%20ray%20fans%20comments&geo=US"
"sparks vs dream","50 mil+","13 de julho de 2026 às 19:20:00 UTC-3",,"sparks vs dream,atlanta dream,kahleah copper,la sparks,dearica hamby,rhyne howard,where to watch los angeles sparks vs atlanta dream","./explore?q=sparks%20vs%20dream&geo=US"
"jennifer garner","50 mil+","8 de julho de 2026 às 21:00:00 UTC-3",,"jennifer garner","./explore?q=jennifer%20garner&geo=US"
"aaron donald","20 mil+","10 de julho de 2026 às 17:40:00 UTC-3",,"aaron donald","./explore?q=aaron%20donald&geo=US"
"plane crashed","10 mil+","13 de julho de 2026 às 21:20:00 UTC-3",,"plane crashed,plane crash","./explore?q=plane%20crashed&geo=US"
"bam adebayo","100 mil+","10 de julho de 2026 às 18:40:00 UTC-3",,"bam adebayo,tyler herro,miami heat,bam adebayo tyler herro altercation,miami heat news,tyler herro bam adebayo,udonis haslem,bam adebayo tyler herro,tyler herro bam adebayo fight,tyler herro and bam adebayo,bam and tyler herro,nba bam adebayo,bam adebayo and tyler herro,bam tyler herro,what did tyler herro say about bam adebayo,bam herro,bam and herro,what did tyler herro say about bam,tyler herro bam,bam adebayo tyler herro fight,herro,adebayo,bam","./explore?q=bam%20adebayo&geo=US"
"the five star weekend","100 mil+","9 de julho de 2026 às 02:20:00 UTC-3",,"the five star weekend,five star weekend show,what to watch this weekend,best movies on hulu,what is new on netflix,best streaming services,new movies streaming,best movies to stream right now,netflix top movies right now,best shows to watch,netflix new releases","./explore?q=the%20five%20star%20weekend&geo=US"
"all star game 2026","100 mil+","12 de julho de 2026 às 13:40:00 UTC-3",,"all star game 2026,mlb all star game 2026,mlb all star schedule,2027 all star game mlb,mlb tv","./explore?q=all%20star%20game%202026&geo=US"
"smackdown","20 mil+","13 de julho de 2026 às 01:10:00 UTC-3",,"smackdown","./explore?q=smackdown&geo=US"
"mitch mcconnell photo","1 mi+","12 de julho de 2026 às 19:20:00 UTC-3",,"mitch mcconnell photo,jimmy kimmel,elaine chao,mitch mcconnell news,mitch mcconnell,mitch mcconnell ambulance stretcher video,hospitals,mitch mcconnell age,is mitch mcconnell still alive,mcconnell,ron johnson,how old is mitch mcconnell,senator mitch mcconnell news,mcconnell mitch,mitch mcconnell senate absence,where is mitch mcconnell,senator mitch mcconnell,scott jennings,mystery,what is mitch mcconnell's health status,kentucky governor,mitch mcconnell statement,fox news,mcconnell update,what happens when a senator dies in office,hospital,mitch,newsmax,did mitch mcconnell,andy beshear,porter mcconnell,mcconnell statement,333,cnn news,loaded,spy","./explore?q=mitch%20mcconnell%20photo&geo=US"
"ella langley american eagle campaign","20 mil+","13 de julho de 2026 às 10:20:00 UTC-3",,"ella langley american eagle campaign","./explore?q=ella%20langley%20american%20eagle%20campaign&geo=US"
"north west hair change","20 mil+","13 de julho de 2026 às 16:10:00 UTC-3",,"north west hair change","./explore?q=north%20west%20hair%20change&geo=US"
"stefon diggs","50 mil+","9 de julho de 2026 às 14:40:00 UTC-3",,"stefon diggs,nfl","./explore?q=stefon%20diggs&geo=US"
"ro khanna","100 mil+","11 de julho de 2026 às 09:50:00 UTC-3",,"ro khanna,congressman ro khanna,ro khanna detained,representative khanna israeli encounter,ro khanna west bank","./explore?q=ro%20khanna&geo=US"
"judge voids trump irs agreement","50 mil+","13 de julho de 2026 às 17:20:00 UTC-3",,"judge voids trump irs agreement,judge williams trump settlement ruling,donald trump irs lawsuit,judge kathleen williams,trump irs,trump anti weaponization fund,trump irs lawsuit,todd blanche,trump irs settlement,donald trump doj irs case,lawyer","./explore?q=judge%20voids%20trump%20irs%20agreement&geo=US"
"starbucks bear cup","20 mil+","12 de julho de 2026 às 22:00:00 UTC-3",,"starbucks bear cup,starbucks pink collection,starbucks bearista cup,starbucks pink bear cup","./explore?q=starbucks%20bear%20cup&geo=US"
